iter	Passed	Remaining
0	7	7782
1	8	4296
2	9	3118
3	10	2508
4	10	2130
5	11	1890
6	12	1710
7	12	1599
8	13	1495
9	14	1400
10	14	1324
11	15	1260
12	15	1205
13	16	1160
14	17	1118
15	17	1083
16	18	1050
17	18	1021
18	19	995
19	19	971
20	20	951
21	21	933
22	21	921
23	22	925
24	23	918
25	24	910
26	24	900
27	25	890
28	26	879
29	26	870
30	27	865
31	28	855
32	28	845
33	29	835
34	29	826
35	30	817
36	31	812
37	31	804
38	32	797
39	32	790
40	33	784
41	34	778
42	34	771
43	35	766
44	35	760
45	36	754
46	36	749
47	37	748
48	38	745
49	39	745
50	40	749
51	40	746
52	41	741
53	42	737
54	42	732
55	43	728
56	43	723
57	44	719
58	44	716
59	45	712
60	46	708
61	46	704
62	47	701
63	47	699
64	48	702
65	49	702
66	50	701
67	51	701
68	51	698
69	52	695
70	53	696
71	53	695
72	55	701
73	55	700
74	56	697
75	57	694
76	57	692
77	58	689
78	58	687
79	59	684
80	60	681
81	60	679
82	61	674
83	61	672
84	62	670
85	62	667
86	63	670
87	64	669
88	65	669
89	66	671
90	68	688
91	70	694
92	71	695
93	71	693
94	72	691
95	73	690
96	73	688
97	74	686
98	75	685
99	76	684
100	76	682
101	77	681
102	78	681
103	79	681
104	79	681
105	80	680
106	81	682
107	82	681
108	84	689
109	86	696
110	86	696
111	87	696
112	89	698
113	89	697
114	90	696
115	91	695
116	91	692
117	92	693
118	93	691
119	94	689
120	94	689
121	95	687
122	96	686
123	96	684
124	97	682
125	98	684
126	99	682
127	100	682
128	100	681
129	101	679
130	102	677
131	102	675
132	103	673
133	104	672
134	104	670
135	105	669
136	105	667
137	106	665
138	107	663
139	107	662
140	108	660
141	108	657
142	109	656
143	110	654
144	110	652
145	111	651
146	112	650
147	112	648
148	113	648
149	114	648
150	115	647
151	115	646
152	116	644
153	117	643
154	117	642
155	118	641
156	119	640
157	120	641
158	121	640
159	121	639
160	122	636
161	122	635
162	123	633
163	124	632
164	124	631
165	125	629
166	126	628
167	126	627
168	127	625
169	127	624
170	128	624
171	129	623
172	130	623
173	131	622
174	131	621
175	132	619
176	133	618
177	134	618
178	134	617
179	135	616
180	135	615
181	136	614
182	137	613
183	138	612
184	138	611
185	139	610
186	140	609
187	140	608
188	141	607
189	142	606
190	143	606
191	143	605
192	144	605
193	145	605
194	146	604
195	147	603
196	147	602
197	148	601
198	149	600
199	149	598
200	150	597
201	151	596
202	151	595
203	152	594
204	152	593
205	153	592
206	154	591
207	154	590
208	155	589
209	156	588
210	156	587
211	157	586
212	158	586
213	159	585
214	160	585
215	161	584
216	161	583
217	162	582
218	163	581
219	163	581
220	164	579
221	165	578
222	165	577
223	166	576
224	167	575
225	167	574
226	168	573
227	169	572
228	169	571
229	170	570
230	171	569
231	171	568
232	172	567
233	172	566
234	173	565
235	174	565
236	176	566
237	176	565
238	177	565
239	178	564
240	178	563
241	179	562
242	180	561
243	180	560
244	181	560
245	182	559
246	183	558
247	183	557
248	184	556
249	185	555
250	185	554
251	186	553
252	187	552
253	187	551
254	188	550
255	189	550
256	190	551
257	191	550
258	191	548
259	192	547
260	193	546
261	193	546
262	194	544
263	195	543
264	195	542
265	196	541
266	196	540
267	197	538
268	197	537
269	198	536
270	199	535
271	199	534
272	200	533
273	200	532
274	201	531
275	202	529
276	202	529
277	203	529
278	204	528
279	205	528
280	206	527
281	206	526
282	207	525
283	208	524
284	208	523
285	209	522
286	209	521
287	210	520
288	210	519
289	211	517
290	212	516
291	212	515
292	213	514
293	213	513
294	214	512
295	215	511
296	215	510
297	216	509
298	216	508
299	217	507
300	218	507
301	219	507
302	220	506
303	220	505
304	221	504
305	222	504
306	222	502
307	223	502
308	224	501
309	225	500
310	225	500
311	226	499
312	226	498
313	227	497
314	228	496
315	228	494
316	229	494
317	229	493
318	230	491
319	231	490
320	231	489
321	232	488
322	232	487
323	233	487
324	234	486
325	235	485
326	235	485
327	236	484
328	236	483
329	237	482
330	238	481
331	238	480
332	239	479
333	240	478
334	240	477
335	241	476
336	241	475
337	242	474
338	242	473
339	243	472
340	244	471
341	244	470
342	245	470
343	246	469
344	246	468
345	247	467
346	247	466
347	248	465
348	249	465
349	250	465
350	251	464
351	251	463
352	252	462
353	252	461
354	253	460
355	254	460
356	254	459
357	255	458
358	261	466
359	261	465
360	262	464
361	262	463
362	263	462
363	264	461
364	265	461
365	265	460
366	266	459
367	267	458
368	267	458
369	268	457
370	269	456
371	269	455
372	270	454
373	271	453
374	271	453
375	273	453
376	273	452
377	274	451
378	275	450
379	275	449
380	276	448
381	276	447
382	277	446
383	277	445
384	278	444
385	279	444
386	280	443
387	281	443
388	281	442
389	282	442
390	283	441
391	283	440
392	284	439
393	285	438
394	285	437
395	286	436
396	286	435
397	287	434
398	288	433
399	288	433
400	289	432
401	290	431
402	290	430
403	291	429
404	291	428
405	292	427
406	293	426
407	293	426
408	294	425
409	295	425
410	296	424
411	296	423
412	297	422
413	298	422
414	298	421
415	299	420
416	300	419
417	300	418
418	301	418
419	302	418
420	304	418
421	305	417
422	305	417
423	306	417
424	307	416
425	308	415
426	310	416
427	311	416
428	312	415
429	312	414
430	313	414
431	314	413
432	314	412
433	315	411
434	316	411
435	317	410
436	319	411
437	320	410
438	320	410
439	321	409
440	322	408
441	322	407
442	323	406
443	324	406
444	325	406
445	326	405
446	327	404
447	327	403
448	328	403
449	329	402
450	329	401
451	330	400
452	331	400
453	332	399
454	332	398
455	334	398
456	334	397
457	335	396
458	336	396
459	336	395
460	337	394
461	337	393
462	338	392
463	339	392
464	340	391
465	341	390
466	341	390
467	342	389
468	342	388
469	343	387
470	344	386
471	344	385
472	345	385
473	346	384
474	347	384
475	348	383
476	349	382
477	349	381
478	350	380
479	350	380
480	351	379
481	352	378
482	352	377
483	353	376
484	354	376
485	355	375
486	355	374
487	356	374
488	357	373
489	357	372
490	358	371
491	359	370
492	359	370
493	360	369
494	361	368
495	362	368
496	363	367
497	363	366
498	364	366
499	365	365
500	365	364
501	366	363
502	367	362
503	367	361
504	368	360
505	368	359
506	369	359
507	370	358
508	371	358
509	371	357
510	372	356
511	373	355
512	374	355
513	374	354
514	375	353
515	376	353
516	378	353
517	378	352
518	379	351
519	380	350
520	380	350
521	381	349
522	382	348
523	382	347
524	383	346
525	384	346
526	385	345
527	386	345
528	386	344
529	387	343
530	388	342
531	389	342
532	389	341
533	390	340
534	391	340
535	392	339
536	393	339
537	394	338
538	394	337
539	395	336
540	395	335
541	396	334
542	397	334
543	397	333
544	398	332
545	399	332
546	400	331
547	401	330
548	401	330
549	402	329
550	403	328
551	403	327
552	404	327
553	405	326
554	405	325
555	406	324
556	408	324
557	409	324
558	409	323
559	410	322
560	411	321
561	411	320
562	412	320
